,verbatim_id,stakeholder,questions,responses,disease
1210,872,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",I would definitely say the knowing of medicines is the most important to know the cause and effects of thr actual medicine or even know if the medicine is right for me also the side effects of the medicine can be very important to know a d prevent me from taking,Psoriasis
1213,873,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ","The medication itself. Because this factor could led me be more informative, feel more confidence and could reduce my stress level",Psoriasis
1224,880,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",The medication itself as it's important to me to know the ingredients and side effects so I can determine whether or not it's safe for me to use.,Psoriasis
1337,963,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I consider the recommendation right away.,Psoriasis
1338,964,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",As much as I needed if there were any choices,Psoriasis
1339,966,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I was given all the time that I needed,Psoriasis
1342,968,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?","A normal amount of time, but sometimes longer",Psoriasis
1344,969,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",At least a couple of weeks to lea n,Psoriasis
1353,974,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish it was about three months rather than one,Psoriasis
1366,982,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",At least a couple of weeks before going to the pharmacy to pick up the meds to start to take them.,Psoriasis
1372,988,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",No time needed to decide on taking the recommended medicine,Psoriasis
1385,995,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",didnt need a lot of time to accept docs recommendationbefore accepting it,Psoriasis
1396,1001,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I had ample time but in a hurry to start treatment,Psoriasis
1403,1006,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?","I don't think about this issue at all. When I have a conversation with my doctor involving a new or change to an existing prescription, I ask the questions that are important to me.",Psoriasis
1406,1007,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",a few days so i can research the side effects,Psoriasis
1412,1010,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?","very little time, after seeing if insurance covers all",Psoriasis
1414,1011,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",6 months is the amount of time needed,Psoriasis
1416,1014,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",Most of the time I travel on doctor's advice,Psoriasis
1441,1027,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",Time is a crazy concept tbh it helps with everything,Psoriasis
1450,1031,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",At least a day In some perspective,Psoriasis
1453,1032,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",The doctor has put me on medication to help me with the pain so I'm just going ahead and doing what I have to do to make sure that everything works out,Psoriasis
1464,1037,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",sooner because the medication really help me,Psoriasis
1485,1053,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",30 minutes twenty minutes immediately,Psoriasis
1487,1055,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",a month is enough time to think about it,Psoriasis
1490,1056,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I consider that with three month we're suficiently,Psoriasis
1513,1070,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",A week should be enough for me to get enough information to make a decision,Psoriasis
1682,1170,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",no change i feel like as soon as i was told that i had it thart i needed to start acting against it fast or else it could get out of hand,Psoriasis
1691,1174,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I had a whole day to think about it,Psoriasis
1696,1177,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",No time at all. Everything happens right away,Psoriasis
1700,1181,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I had as much time as I needed to make my decision considering itâ€™s hard decision,Psoriasis
1713,1187,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I didn't need much time to consider it in this instance. I trust my doctor.,Psoriasis
1720,1190,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I had at least 10 minutes to consider the recommended prescription so I can readily assure myself if this is the route I want to go.,Psoriasis
1724,1192,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",at least a week and maybe or maybe a few days at the very least,Psoriasis
1726,1193,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I would say i had a great and normal feedback for the timing jt was perfect there was know rush into me taking the medicine the doctors gave plenty tine to look through important information of the medicine and some of the best suggestions,Psoriasis
1729,1194,yy_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",A lot more time to consider after I had completed my research about the medication,Psoriasis
1740,1201,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I would like a significant amount of time to consider taking a prescription or not.,Psoriasis
1800,1237,yy,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",none because there was no time needed for a diagnosis that was not life threatening or altering,Psoriasis
35,26,yy,Describe your experience of being diagnosed or told your disease had progressed.,Family doc referred me to urologist who referred me to a radiologist. Had a number of treatments. Then urologist retired and referred me to a urologist/oncologist who prescribed drugs to starve the cancer. It all made sense and I took the meds.,Prostate Cancer
37,27,yy,Describe your experience of being diagnosed or told your disease had progressed.,PSA was 88.9. Biopsy completed after that.,Prostate Cancer
42,30,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,"After 8 years of remission, my PSA began to rise. My PCA told me to return to my Urologist who prescribed a new treatment regime.",Prostate Cancer
49,34,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was crushed at first then I accepted it and started treatment,Prostate Cancer
116,85,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,now what do we do and what impact will it have on my life,Prostate Cancer
211,148,yy,Describe your experience of being diagnosed or told your disease had progressed.,When I was told that prostate cancer was the slowest active cancer I was comfortable and ready to start my radiation treatment,Prostate Cancer
216,154,yy,Describe your experience of being diagnosed or told your disease had progressed.,I had honestly given up so I had hope that he could help me,Prostate Cancer
230,163,yy,Describe your experience of being diagnosed or told your disease had progressed.,"That it is part of the human experience, and I had done nothing wrong, felt that accepting it the treatment would go better.",Prostate Cancer
232,164,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was diagnosed with prostate cancer and referred to a radiologist for treatment. He made me feel that it could be handled,Prostate Cancer
266,185,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,I was a bit in shock but ultimately knew that I had to move forward and utilize as many options as possible.,Prostate Cancer
280,194,yy,Describe your experience of being diagnosed or told your disease had progressed.,it was an annual physical so I wasn't expecting such news. but I'm handling it.,Prostate Cancer
284,197,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,It was very hard to deal with but my family was there for support,Prostate Cancer
302,210,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was told the cancer wasn't severe but it was recommended that I undergo radiology treatment. The process was explained to me and was actually very simple.,Prostate Cancer
337,233,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,I was told that things had worsened and I was previously unwilling to try any kind of new treatment.,Prostate Cancer
350,240,yy,Describe your experience of being diagnosed or told your disease had progressed.,It's alright because I trust my doctor so much so I always follow his advice,Prostate Cancer
351,241,yy,Describe your experience of being diagnosed or told your disease had progressed.,my father has it as well so I guess it was easy to come to terms with,Prostate Cancer
352,242,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,at that point i was willing to try drastic measures for treatment,Prostate Cancer
360,247,yy,Describe your experience of being diagnosed or told your disease had progressed.,My primary care doctor has been our doctor for more than 30 years. He suggested a biopsy after two psa tests showed high levels. My urologist was terrific. He and my main doctor explained everything in detail. I had full confidence in them.,Prostate Cancer
362,248,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,I had prostate cancer. The prescription was not meds. I needed radiation therapy to radiate and destroy the cancer. I felt resolved to the treatment and prayed for good outcome,Prostate Cancer
363,249,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was told it wasn't at a critical stage as of yet. I was concerned that if not treated it had a chance t become serious.,Prostate Cancer
365,250,yy,Describe your experience of being diagnosed or told your disease had progressed.,When I was diagnosed it was a sad day but i tough out and had the presides!,Prostate Cancer
368,251,yy,Describe your experience of being diagnosed or told your disease had progressed.,"After the surgery my doctor explained me about the side effects(impotence,incontinence)with possible medications treatment.",Prostate Cancer
369,252,yy,Describe your experience of being diagnosed or told your disease had progressed.,"There were different treatment options and doctors, so we prepared lists of questions for each, and both, then scheduled in person consultations. One of the doctors ordered an MRI to dig deeper, and that with the other information made our decision.",Prostate Cancer
370,253,yy,Describe your experience of being diagnosed or told your disease had progressed.,"I had known for several months that my PSA level kept getting higher, so I knew it was entirely possible that I might indeed have prostate cancer and was mentally prepared in case of the worse case scenario.",Prostate Cancer
371,254,yy,Describe your experience of being diagnosed or told your disease had progressed.,just had lot pre radiation treatments biopsy and other things to be able to get radiation,Prostate Cancer
372,256,yy,Describe your experience of being diagnosed or told your disease had progressed.,I WENT THROUGH MY ANNUAL CHECK UP AND DID THE BOLLD WORK WHICH SOWED HIGH PSA AND A ENLARGED PROSTATE . SENT TO A CANCER DR. WHICH PUT ME ON TAMSULDIN AND THEN A SCAN OF MY PROSTATE AND A BYOP WHICH SHOWEN THE CANCER.,Prostate Cancer
373,257,yy,Describe your experience of being diagnosed or told your disease had progressed.,I had to overcome my fear and make a choice,Prostate Cancer
374,258,yy,Describe your experience of being diagnosed or told your disease had progressed.,Surprised it progressed that I required treatment sooner than expected. It took two months to prepare myself for treatment.,Prostate Cancer
376,260,yy,Describe your experience of being diagnosed or told your disease had progressed.,I faced the situation and followed my doctors ideas on coping with the disease.,Prostate Cancer
377,261,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was completely shocked when the doctor told me of my disease but I was at the Mayo Clinic I have a lot of confidence in my doctor. It was a simple decision for me to go forward with the treatment.,Prostate Cancer
378,262,yy,Describe your experience of being diagnosed or told your disease had progressed.,scared but there was a decision that had o be made by me,Prostate Cancer
380,263,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was nervouse but I got ready for everything by looking at youtube videos of what other people went through,Prostate Cancer
381,264,yy,Describe your experience of being diagnosed or told your disease had progressed.,I had cancer twice before this happened,Prostate Cancer
386,267,yy,Describe your experience of being diagnosed or told your disease had progressed.,Dealing with a lot of patience and doing the research,Prostate Cancer
387,268,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,"Very upsetting, there was a challenge to get through the treatments to cure me of my cancer.",Prostate Cancer
389,269,yy,Describe your experience of being diagnosed or told your disease had progressed.,It was what needed to be done. I was in excellent shape and could withstand very potent chemo after spinal surgery and radiation. My attitude was 'let's go' and get it done .,Prostate Cancer
392,270,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,I was told I had metastatic prostate cancer. I just took the information in and got my head right,Prostate Cancer
394,271,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,i am iok with knowing bi am dieing and am prepared for the inevitable.iam prepared to meet my maker and will listen to what my doctor has to say and i trust her wisdom in the matter,Prostate Cancer
399,273,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was devastated to begin with but my doctor and my family were able to calm me and prepare me to fight,Prostate Cancer
404,275,yy,Describe your experience of being diagnosed or told your disease had progressed.,it was a shock and yet so serious that I had to face it head on and this was the only way to begin to do that,Prostate Cancer
410,278,yy,Describe your experience of being diagnosed or told your disease had progressed.,"At first I was very scared and nervous, but gradually I accepted the doctor's treatment",Prostate Cancer
414,280,yy,Describe your experience of being diagnosed or told your disease had progressed.,"as a infantry vietnam veteran , I was diagnosed with cancer three different times. once in 1996 for colon cancer ( polyp ) removed, then in 1998 cancer in my throat and that was removed, then had a skin cancer polyp and that was removed. then I was diagnosed with the prostate cancer, which I started with ALLAGUARD injections every six months. so far the prostate cancer has gone into remission. I have gotten used to getting these cancer reports.",Prostate Cancer
415,281,yy,Describe your experience of being diagnosed or told your disease had progressed.,It was detected early so I felt confident with the doctors suggestion for treatment,Prostate Cancer
417,283,yy,Describe your experience of being diagnosed or told your disease had progressed.,Exceptionaldoctor who guided me through it,Prostate Cancer
421,285,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,It was the scariest worst feeling ever.,Prostate Cancer
423,286,yy,Describe your experience of being diagnosed or told your disease had progressed.,I have seen this would be cause by my daily activities and the I said I won't do anything out of my ability to lose my ability to help my self on an individual day.,Prostate Cancer
425,287,yy,Describe your experience of being diagnosed or told your disease had progressed.,Upon hearing this news I came to terms with it over time and prepared myself mentally.,Prostate Cancer
426,288,yy,Describe your experience of being diagnosed or told your disease had progressed.,"EASY DECISION,TAKE THE MEDICATIONS TO CONTINUE TO ENJOY LIFE.",Prostate Cancer
430,292,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was told I was terminal and if I did nothing I would have 7 months to live,Prostate Cancer
435,293,yy,Describe your experience of being diagnosed or told your disease had progressed.,I felt my heart drop when I heard it and then thought I was dreaming. After it set in I just accepted it and listened to what my doctor had to say.,Prostate Cancer
437,294,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,Yes I use It regularly and feel very satisfied with that,Prostate Cancer
439,296,yy,Describe your experience of being diagnosed or told your disease had progressed.,It was a big pill to swallow that took some time to digest,Prostate Cancer
440,297,yy,Describe your experience of being diagnosed or told your disease had progressed.,i feel really bad and i feel weak so i decided to come round soon and a i accepted the doctors treatment,Prostate Cancer
446,301,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,Accepted the findings. Doctor gave options. Family history also played a part in decision to have prostate removed,Prostate Cancer
450,304,yy,Describe your experience of being diagnosed or told your disease had progressed.,My experience of being diagnosed and preparing for treatment was devastating yet so hopeful for the better outcome,Prostate Cancer
460,309,yy,Describe your experience of being diagnosed or told your disease had progressed.,Itâ€™s the worse thing ever I hate it,Prostate Cancer
466,312,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,I was told I caught it too late,Prostate Cancer
